5and took3500
105and took2500
2209and took2300
46499and took2800
978793and took3900
20603361and took4000
433695873and took4800
539260895and took6800
-1106123859and took6500
-780807791and took6800
216042609and took8600
-1645004157and took8200
-750114111and took9800
-1488695and took9000
1868586433and took31600
-165993377and took12400
-1618763179and took13000
2068304665and took14100
-1300031551and took14000
-1081317309and took14900
-464553895and took12400
747921233and took11300
1275572801and took11800
1300592383and took11700
-728836995and took12100
155490177and took19500
-457918191and took13000
-1599694237and took13300
463731377and took18700
-909188103and took14500
1245923457and took14700
-50867905and took15500
-731490651and took15700
-1281346231and took15700
-1920825631and took16900
599497827and took24700
797347913and took17300
-1756890815and took18500
-1138123007and took31100
909677727and took19500
